"Date","Time","Test Total Time",,
03/05/15,16:35:38,(hh:mm:ss): 9:17:10,,
,,,,
"Rated Capacity","Tested Capacity",,,
5.00 Ah,4.64 Ah,,,
,,,,
"Cells","Battery Type","Battery Weight",,
2,Li-ion,1.000 kg,,
,,,,
Internal Resistance,,,,
1.88,,,,
,,,,
"Test Current","Graph Type",,,
0.500 Amps,AmpHrs,,,
,,,,
"Test","Time","Voltage","Current","Temp (C)"
"Artoo pack 4 cell .5amp discharge",333,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",334,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",335,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",336,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",337,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",338,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",339,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",340,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",341,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",342,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",343,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",344,7.93,0.498,0.00
"Artoo pack 4 cell .5amp discharge",345,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",346,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",347,7.93,0.498,0.00
"Artoo pack 4 cell .5amp discharge",348,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",349,7.92,0.501,0.00
"Artoo pack 4 cell .5amp discharge",350,7.92,0.498,0.00
"Artoo pack 4 cell .5amp discharge",351,7.92,0.501,0.00
"Artoo pack 4 cell .5amp discharge",352,7.92,0.501,0.00
"Artoo pack 4 cell .5amp discharge",353,7.92,0.501,0.00
"Artoo pack 4 cell .5amp discharge",354,7.92,0.501,0.00
"Artoo pack 4 cell .5amp discharge",355,7.92,0.501,0.00
"Artoo pack 4 cell .5amp discharge",356,7.92,0.498,0.00
"Artoo pack 4 cell .5amp discharge",357,7.92,0.501,0.00
"Artoo pack 4 cell .5amp discharge",358,7.92,0.501,0.00
"Artoo pack 4 cell .5amp discharge",359,7.92,0.501,0.00
"Artoo pack 4 cell .5amp discharge",360,7.92,0.499,0.00
"Artoo pack 4 cell .5amp discharge",361,7.92,0.501,0.00
"Artoo pack 4 cell .5amp discharge",362,7.92,0.501,0.00
"Artoo pack 4 cell .5amp discharge",363,7.92,0.499,0.00
"Artoo pack 4 cell .5amp discharge",364,7.92,0.501,0.00
"Artoo pack 4 cell .5amp discharge",365,7.92,0.501,0.00
"Artoo pack 4 cell .5amp discharge",366,7.92,0.499,0.00
"Artoo pack 4 cell .5amp discharge",367,7.92,0.499,0.00
"Artoo pack 4 cell .5amp discharge",368,7.92,0.501,0.00
"Artoo pack 4 cell .5amp discharge",369,7.92,0.498,0.00
"Artoo pack 4 cell .5amp discharge",370,7.92,0.501,0.00
"Artoo pack 4 cell .5amp discharge",371,7.92,0.501,0.00
